step,grand_mean_re,smoothed_re,derivative
147,0.90480140,0.90409011,-0.0001386058
148,0.89986496,0.90401265,-0.0000025785
149,0.90662806,0.90408496,-0.0000491465
150,0.91028467,0.90391435,-0.0001247056
151,0.90947793,0.90383554,-0.0000911887
152,0.90240655,0.90373197,0.0000169948
153,0.90333437,0.90386953,0.0000913475
154,0.90802839,0.90391467,0.0000572358
155,0.90510067,0.90398401,0.0000317598
156,0.90520525,0.90397819,0.0000916379
157,0.90994635,0.90416728,0.0002542838
158,0.90654246,0.90448676,0.0003057677
159,0.91347065,0.90477882,0.0002562151
160,0.91350933,0.90499919,0.0001987099
161,0.90863432,0.90517624,0.0001369605
162,0.90465852,0.90527311,0.0002186577
163,0.90516352,0.90561355,0.0003233229
164,0.90670748,0.90591975,0.0001560196
165,0.89654320,0.90592559,-0.0000472276
166,0.89232470,0.90582530,-0.0000328429
167,0.90154755,0.90585991,-0.0000082990
168,0.90812870,0.90580870,-0.0000032924
169,0.91084860,0.90585332,-0.0000398192
170,0.89999176,0.90572906,-0.0001510261
171,0.89690108,0.90555127,0.0000140638
172,0.90451530,0.90575719,0.0000482661
173,0.90919533,0.90564780,0.0000041670
174,0.90313498,0.90576552,0.0000375141
175,0.90172300,0.90572283,-0.0000437727
176,0.90532473,0.90567798,0.0000025928
177,0.91063258,0.90572801,-0.0000125916
178,0.90886701,0.90565280,-0.0000393494
179,0.91150352,0.90564932,-0.0000549487
180,0.90271494,0.90554290,-0.0001080659
181,0.90546745,0.90543318,-0.0000946819
182,0.91195871,0.90535353,-0.0000248405
183,0.91540001,0.90538350,0.0000502017
184,0.91080181,0.90545394,-0.0001775720
185,0.90680961,0.90502836,-0.0003419916
186,0.90785685,0.90476995,-0.0001408809
187,0.91360574,0.90474660,0.0000528885
188,0.91577177,0.90487573,0.0001782023
189,0.90323989,0.90510300,0.0000724869
190,0.90031374,0.90502071,0.0000135981
191,0.90630997,0.90513020,0.0001252008
192,0.89824822,0.90527111,0.0001387607
193,0.90200988,0.90540772,0.0000081896
194,0.89736446,0.90528749,-0.0000396859
195,0.89740952,0.90532835,0.0000964725
196,0.90762998,0.90548043,0.0001846875
197,0.89933195,0.90569772,0.0001489918
198,0.90575111,0.90577841,0.0000454741
199,0.90449332,0.90578867,0.0001146273
200,0.90804214,0.90600767,0.0001290041
201,0.91197974,0.90604668,0.0000827305
202,0.89864559,0.90617313,0.0000733521
203,0.90316040,0.90619338,0.0000110307
204,0.90270749,0.90619519,-0.0000159779
205,0.89961498,0.90616143,0.0000592436
206,0.90122276,0.90631368,0.0000865557
207,0.91144479,0.90633454,0.0000350702
208,0.91006419,0.90638382,-0.0000399731
209,0.89219172,0.90625459,-0.0000582845
210,0.90058910,0.90626725,0.0000103975
211,0.90746647,0.90627539,0.0000607253
212,0.91111523,0.90638870,-0.0001159844
